Vendor ID,Vendor,Count
1262,Open-Xchange ,6
1265,Opticon USA ,6
1273,Orthoview ,6
1284,Pantaray Research ,6
1288,Parallels ,6
1297,Paterva ,6
1305,PenBay Solutions LLC ,6
1306,"Pennebaker Conglomerates, Inc. ",6
1315,Petka Antonov ,6
1355,Precision software & consulting ,6
1360,PrimeFaces ,6
1362,Print Control Software (PCS) ,6
1370,ProteinSimple ,6
1376,Punch! Software ,6
1397,Radiation Saftey Information Computational Center ,6
1422,RequireJS ,6
1425,Resplendence ,6
1439,Rob Mensching ,6
1463,RStudio ,6
1467,rvagg (Rod Vagg) ,6
1471,Safe Software ,6
1485,Sass-Lang ,6
1489,Savvius ,6
1500,Scooter Software ,6
1514,SenseWear ,6
1519,Sharmahd Computing ,6
1525,"Shipcom Wireless, Inc ",6
1527,Siemens ,6
1536,Singlewire Software ,6
1541,Slashback Software ,6
1554,Socket.IO ,6
1580,Spacelabs Healthcare ,6
1597,SSH Communications Security ,6
1609,Statistics Netherlands ,6
1625,StructureMap ,6
1643,SYSTAT Software Inc. ,6
1646,SysTools ,6
1651,Tammo Freese ,6
1660,Tekscan ,6
1671,Terrago Tech ,6
1690,The Paciello Group ,6
1705,Tim Wood ,6
1708,TMS Software ,6
1728,tricerat ,6
1749,"Unified FX Ltd, ",6
1755,Unitron ,6
1756,Unity Container ,6
1761,"University of New Mexico Center on Alcoholism, Substance Abuse, and Addictions ",6
1769,URUWorks ,6
1783,Veeam Software ,6
1787,Verathon ,6
1788,VERBI GmbH ,6
1792,Verizon ,6
1808,VisionStar LLC ,6
1821,Voicebrook ,6
1834,WatchDox ,6
1844,Websockets ,6
1858,Whitestein ,6
1861,Wietse Venema ,6
1880,WordPress.org ,6
1,16 Software ,5
3,"20-20 Technologies, Inc. ",5
7,A Must in Every Office BV ,5
18,Acano ,5
42,aescripts+aeplugins ,5
46,Agilent Technologies ,5
49,agilquest ,5
52,Aidin ,5
54,Aivosto Oy ,5
75,Allscripts ,5
102,ANIXIS ,5
108,AnyLogic Company ,5
121,ApexSQL LLC ,5
124,Appian ,5
155,Atelier Web ,5
158,Atif Aziz ,5
177,AvePoint ,5
189,Axxya Systems ,5
252,Broad Institute ,5
257,Bruel & Kjaer ,5
264,"Burlodge, USA ",5
269,CAE ,5
279,"Capsa Solutions, LLC ",5
286,CareFusion Corporation ,5
289,Carl Lejuez ,5
291,CAST ,5
335,Cochrane ,5
364,Configura ,5
386,CTB/McGraw-Hill ,5
388,Cuminas ,5
454,Dictran ,5
458,"DigitalCore, Co.Ltd ",5
459,"Digitalks, Inc ",5
467,"Diverse Computing, Inc. ",5
486,dotPDN ,5
493,Dr. Martin E. Wendelken ,5
494,Dr. Urbano Lorenzo-Seva ,5
501,Duncan Murdoch ,5
